countryiso3code,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,country,region,income
DZA,-0.4586010834094291,1.9523808734784323,-0.21982261419856194,-0.38243233079690353,1.6380495204938526,0.21316150558847793,1.3297725125077184,0.5021325431116104,0.38502237122109756,-0.26565986795842134,-0.28912325618765405,0.13201409570415412,-0.5475735427128785,0.04979367396694991,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
ECU,-0.014458402147789687,0.30766575532038337,-0.33630439296591796,-0.37017188216726465,-0.1955814183758242,-1.1258066792910135,-0.21799078262959476,-0.13821429803397198,0.43551325306815647,0.030051080244858995,0.13236895722020164,-0.1329493434054621,-0.32256759705980453,0.07381587836070484,Ecuador,Latin America & Caribbean ,Upper middle income
EGY,-1.3866519460030968,0.6165987063584739,-1.5681634050318205,-0.12338292940155171,0.5852451505834247,0.8661134302671805,-0.5365062507504099,-1.061122038616295,-0.14073262303236064,0.3238366982861472,0.48836514075461385,-0.06235275258777524,-0.22746733079453169,0.11053070865458921,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
ESP,2.279140887385889,-0.5321955172294536,-0.9519052836945682,-0.022348213806561244,1.0544764454032998,-0.7535758822158176,0.4813026092453036,-0.3372273929698223,0.48879886584867444,-0.04029163969889582,-0.11797955278009326,0.0095631463249448,-0.23014426225975881,0.04918355759625074,Spain,Europe & Central Asia,High income
EST,2.50625325725513,-0.27447311921456197,-0.10343425860397029,0.6218592953372539,-0.6742668129963312,0.5973282682830027,0.6922356116586544,-0.07344215643952338,-0.3110325313360351,0.08946218363463683,-0.16929150572909143,0.09188725712222542,-0.2052240399974214,-0.05733460463576519,Estonia,Europe & Central Asia,High income
ETH,-4.849678525163247,0.5562585352474618,-0.9275586604968319,-1.224478562126717,0.20797627092767157,0.5496934716675739,-0.41782377429233214,-0.8332864870015705,0.27397604267518005,-0.09515506776361243,-0.5236050620323683,-0.20513444803671946,0.14190618999465793,0.14371742564951237,Ethiopia,Sub-Saharan Africa ,Not classified
FIN,2.205335451131985,0.15258533444089012,-0.8017141171522016,0.09799418538922837,0.11141114432786547,-0.2601821533314217,0.49172263697768326,-0.4041155777666095,0.2736153946408897,0.009289528813715774,-0.17872589146118856,0.25469455150309317,0.21417739080876164,0.08124104655513424,Finland,Europe & Central Asia,High income
FJI,-0.8171355420749372,-0.6369182450737277,0.625971341600989,-0.5839107014393208,0.6065010856479337,-0.3359401011669216,-0.0879175705843063,0.3998593788333951,-0.09802166732962772,0.44515930191451714,0.3118143195842899,0.5224701621277124,0.24919582590064998,-0.18156052453585805,Fiji,East Asia & Pacific,Upper middle income
FRA,2.250963000071844,-0.5793280269519395,-0.9732091465493473,-0.4607920372816852,0.40750391541214376,-0.6820976765091412,0.4878096421771605,-0.323063610746549,0.18827130319418098,-0.4140377561531007,-0.2083196185849895,-0.024121736639580147,0.16681370191253717,0.054244531376070805,France,Europe & Central Asia,High income
FRO,0.2839861921749029,-0.48905375337568036,0.8418987444359707,-0.0532308292959503,0.3729496688823973,0.5556603684088526,1.3825302484912907,-1.185072436406784,2.16330441383088,-0.37259058256639654,0.13075389959480277,1.200813663588526,0.470727874802823,0.27526468086136147,Faroe Islands,Europe & Central Asia,High income
FSM,-2.28948726067561,-3.136225283485436,0.2564745296219584,-0.341431487838864,-1.1432172598570762,0.15067964079863655,0.7452365132321712,-0.4576482650256856,-0.006284913404268036,0.2461061839954882,0.017207723398442513,0.3720058319054911,0.1207471601643663,0.39584986647829806,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income
GAB,-0.2065383227015078,1.6407203086964341,-0.18773879536147095,2.392673674392727,1.7923337644036952,-0.2667090776658606,-0.9218628374234032,0.7282183119301059,0.26967195246048126,-0.6698516358983807,0.016072062994431785,0.6480481724318701,-0.11888039635494588,-0.043198785660801244,Gabon,Sub-Saharan Africa ,Upper middle income
GBR,2.5282498390774792,-0.5652548373218317,-1.5156817619293632,-0.7295790353992601,-0.19787945811981952,-0.7683724408710475,-0.1234050490533583,-0.25464805844517263,-0.067157676180533,-0.3281892053701022,0.16373684610780165,-0.03768021909237403,0.4055058825058747,-0.18014219769768128,United Kingdom,Europe & Central Asia,High income
GEO,0.7318056089866323,-0.8495146021278733,0.7740614830881334,0.2626619684391142,0.9533551452751892,-0.08547758717443532,0.42173014905183015,-0.007776597540718014,-0.09127487597585601,0.4001797800690499,-0.048191869292019594,-0.005087526177257507,-0.3130515063648055,-0.09146612268332596,Georgia,Europe & Central Asia,Upper middle income
GHA,-2.185843784162123,0.2708587301913616,-1.2696912400543985,0.25894250508128985,-0.5043774104800393,1.307777815640173,-1.8132302331458394,0.11530301538355466,0.3803537337651326,0.4426949374569843,0.7299081752042813,0.41163996188671337,-0.04066121873986863,-0.16775626521799425,Ghana,Sub-Saharan Africa ,Lower middle income
GIN,-3.3839314556472875,-0.07533213624546901,1.2756115700789339,0.8104464262965028,-0.1893177699846098,0.657934981322564,-0.47691987093145377,0.3084126983363627,-0.0022150834666911545,0.01303860067965879,-0.2534105744900241,0.5629393503060575,0.023454173666298296,-0.052637250026402356,Guinea,Sub-Saharan Africa ,Lower middle income
GMB,-3.012181436884985,-0.759959428490252,-0.7355979234253178,-0.970503167598864,0.8179837443950219,0.395948453759938,0.5577512372766439,1.0854680689172445,0.033036949124388135,-0.05916888050235966,0.1589195039357717,-0.6604936242530264,0.22878931112770032,0.09969323950584971,"Gambia, The",Sub-Saharan Africa ,Low income
