countryiso3code,NY.GDP.PCAP.KD,NY.GDP.MKTP.KD.ZG,FP.CPI.TOTL.ZG,SL.UEM.TOTL.ZS,NE.GDI.TOTL.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.ZS,SP.URB.TOTL.IN.ZS,SP.DYN.LE00.IN,IT.NET.USER.ZS,EN.GHG.CO2.PC.CE.AR5,country,region,income
DZA,4223.60252133943,5.39999999969525,1.38244656662118,15.27,31.175075513314,44.371282898314,22.4691773220766,6.5592713699842,48.5068360058496,39.5234001714181,63.6598541890144,72.836,5.843900204,3.06259438261496,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
ECU,4589.32849203452,5.39862243994342,2.1682770118372,3.779,17.4645010337808,32.6271488045748,29.3310019856824,7.72632554619423,32.1244730702211,54.4341944825683,62.0068704145716,73.909,5.994299889,2.08473639953538,Ecuador,Latin America & Caribbean ,Upper middle income
EGY,2635.70305227819,4.47174447174434,4.86939696871988,11.049,17.9758588672238,30.3435468895079,32.6090993500464,13.9816898792943,34.1486722376973,45.9292479108635,42.9569271409488,68.355,12.75,2.1995658648073,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
ERI,809.794793468889,2.57444955124846,,5.721,20.3394397206045,6.16571332006919,54.9403177017381,22.6000002108942,20.4623875049573,,35.1022033691406,60.628,,0.227039153168759,Eritrea,Sub-Saharan Africa ,Low income
ESP,26294.447384391,3.5512255846125,3.36881409750383,9.146,29.4041085115965,24.940578932511,29.7585877718662,2.75836581828682,27.1317779343664,59.8643281809934,77.2206801920294,80.1707317073171,47.88,8.42628442319919,Spain,Europe & Central Asia,High income
EST,14703.6179707772,9.52305386462066,4.07971423199848,8.033,33.3508381603819,65.4224930152567,70.49029909985,3.28668552534137,26.2552926540896,59.0829427359463,67.5080523578799,72.5682926829268,61.45,14.813456108948,Estonia,Europe & Central Asia,High income
ETH,290.833381425059,11.8187659491625,9.96997123512891,2.497,0.0,,,41.1744985607337,11.7888335264129,39.1449503016171,15.982967376709,54.364,0.219659818999505,0.0698363747100678,Ethiopia,Sub-Saharan Africa ,Not classified
FIN,42529.3506920884,2.77730918518017,0.62387445002519,9.602,24.6073870744416,40.2785031518346,36.3104708925947,2.27855173502727,29.2555840307046,55.8548820035709,68.5140529517604,78.8170731707317,74.48,11.1028086409399,Finland,Europe & Central Asia,High income
FJI,4255.45097421847,0.700000402432295,2.36576453830433,3.886,,,,12.0743313492063,16.4509285714286,57.3342242063492,49.8421361321385,65.983,8.45363663371359,1.96151540324509,Fiji,East Asia & Pacific,Upper middle income
FRA,34946.0372494703,1.88856584109286,1.74586936380487,8.882,21.9113534781153,28.1635565257399,27.65927959839,1.58270403235962,19.3552308487449,68.7116075234513,77.4363315105438,80.1634146341463,42.87,6.45391402908229,France,Europe & Central Asia,High income
FRO,,,,,22.0164882024069,42.0458637354307,58.9168956694779,11.5436368805079,17.2377522979248,57.5788875201365,36.3320579528809,79.4453463414634,67.9026317413939,0.0392894807584938,Faroe Islands,Europe & Central Asia,High income
FSM,2824.41492288117,2.31413355373383,4.25769978210942,,,17.0797630458921,77.2655947314167,22.8108216648608,5.16568492454759,64.7410155298142,22.3299999237061,64.906,11.88140011,0.0017951387642264,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income
GAB,7130.22505771754,2.67620333310926,3.70833333333304,16.91,21.3645323014692,60.0086727573886,23.9409270825355,4.98463861102881,59.9223608108533,29.5650974359157,83.4326746392243,62.978,4.89326474972412,4.36742182241825,Gabon,Sub-Saharan Africa ,Upper middle income
GBR,43320.5628684438,2.7906547174688,2.0891364902507,4.884,18.4132680657531,25.2070017509366,27.3372722873845,0.547158772249259,20.2645432136421,69.2939029352595,80.4455938127627,79.0487804878049,70.0,9.2634507993102,United Kingdom,Europe & Central Asia,High income
GEO,2321.60084285163,9.59113832853026,8.24709043114158,13.81,33.3296044196233,33.2590418986481,51.2705556368268,14.7699403660646,23.7580566049101,51.088986223098,53.0036280624359,70.689,6.079500198,1.27593582421795,Georgia,Europe & Central Asia,Upper middle income
