iso,perc_e,perc_m,dperc,tier_e,tier_m,pc1_e,pc1_m,country,region
NOR,89.0625,84.29319371727748,-4.769306282722525,1,1,2.5374391103293514,2.766560729035891,Norway,Europe & Central Asia
NPL,15.104166666666666,20.418848167539267,5.3146815008726005,0,0,-3.2064552319047657,-1.7626115682170735,Nepal,South Asia
NZL,82.29166666666666,81.15183246073299,-1.139834205933667,1,1,2.0351320699191824,2.5626409963156753,New Zealand,East Asia & Pacific
OMN,75.0,82.72251308900523,7.722513089005233,1,1,1.3205895376837895,2.6774035718721456,Oman,"Middle East, North Africa, Afghanistan & Pakistan"
PAK,15.625,9.424083769633508,-6.2009162303664915,0,0,-3.187850361566118,-2.6930914808886803,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan"
PAN,68.22916666666666,72.77486910994764,4.545702443280987,1,1,0.9624694967443568,1.9310323347557712,Panama,Latin America & Caribbean 
PER,45.3125,49.21465968586388,3.9021596858638787,1,1,-0.660349024831144,0.551532779109091,Peru,Latin America & Caribbean 
PHL,32.29166666666667,35.602094240837694,3.3104275741710225,0,0,-1.5585294095926834,-0.22541351822991698,Philippines,East Asia & Pacific
PLW,88.54166666666666,83.7696335078534,-4.772033158813258,1,1,2.432006832073683,2.7065569679696466,Palau,East Asia & Pacific
POL,68.75,71.20418848167539,2.454188481675388,1,1,0.9934614380712073,1.8434468358291232,Poland,Europe & Central Asia
PRI,85.41666666666666,86.91099476439791,1.4943280977312554,1,1,2.3239833538572534,2.8328724979732787,Puerto Rico (US),Latin America & Caribbean 
PRT,74.47916666666666,75.91623036649214,1.4370636998254867,1,1,1.2817698709048424,2.1189601361434867,Portugal,Europe & Central Asia
PRY,38.02083333333333,40.31413612565445,2.2933027923211213,0,1,-1.1241188641388282,0.13298244344765958,Paraguay,Latin America & Caribbean 
PSE,53.125,42.40837696335078,-10.716623036649217,1,1,-0.2240641244729666,0.22677377934444848,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan"
PYF,71.35416666666666,68.58638743455498,-2.7677792321116783,1,1,1.1709084181862095,1.767972902537565,French Polynesia,East Asia & Pacific
QAT,97.91666666666666,97.90575916230367,-0.01090750436299004,1,1,3.174262916579352,4.310281814032984,Qatar,"Middle East, North Africa, Afghanistan & Pakistan"
ROU,45.83333333333333,58.63874345549738,12.805410122164048,1,1,-0.5190354343420592,1.2219540552515908,Romania,Europe & Central Asia
